specObjID,ra,dec,z
945776302542055424,178.95232,4.8217308,0.08313622
945777127175776256,179.04013,4.8816559,0.07275884
5457303193548771328,179.04224,4.8840744,0.5783396
5457314738420862976,178.95615,4.7104889,0.4922233
946954979023808512,179.02568,4.7177897,0.149584
946958002680784896,178.95668,4.7660586,0.03546992
5365168787753816064,178.97556,4.7744211,0.3135167
945775477908334592,179.06993,4.7590801,0.1379036
946944808541251584,179.07063,4.7722811,0.07227936
946953604634273792,179.04275,4.8428244,0.08192719
5365178408480559104,179.08961,4.8449985,0.5248464
5365176759213117440,179.10258,4.878852,0.5662998
945777402053683200,179.05263,4.8040462,0.07362475
5457336178897604608,178.59767,4.9292002,0.5314475
946966249017993216,178.65846,4.8850793,0.3131698
5365154494102654976,178.66482,4.877282,0.3117813
5365144598498004992,178.59912,4.6497769,0.3143537
5457337828165046272,178.59208,4.7289859,0.4817581
945798567652517888,178.59473,4.6968586,0.1547631
945786747902519296,178.89462,4.9168593,0.08657841
946957727802877952,178.85044,4.910155,0.07307709
5365164664585211904,178.8666,4.9231391,0.4945666
5457316662566211584,178.88123,4.8709335,0.3102488
5457326558170861568,178.78219,4.8797535,0.314539
5365165489218932736,178.8025,4.8848234,0.6970692
946966798773807104,178.79357,4.913436,0.3522946
5457326833048768512,178.82375,4.8168173,0.4799397
5457326283292954624,178.79851,4.8704685,0.4828383
5457315837932490752,178.84143,4.8599518,0.5272993
5457327932560396288,178.82579,4.9008785,0.5770598
945785923268798464,178.67619,4.8112922,0.3516713
945787022780426240,178.72323,4.8230298,0.3522885
945784274001356800,178.89215,4.8711476,0.4951279
946953879512180736,178.88004,4.8538968,0.07539783
945788946925774848,178.91263,4.8582274,0.0722103
5457315013298769920,178.93162,4.7585378,0.3104961
5457315288176676864,178.90036,4.7583211,0.4791073
5365166038974746624,178.89836,4.8237977,0.4790711
945783999123449856,178.85552,4.8300573,0.2269094
945788122292054016,178.85906,4.80545,0.07404875
5365156143370096640,178.69463,4.5896522,0.2305097
946968173163341824,178.74187,4.6605768,0.02270648
5365169337509629952,178.93112,4.6153054,0.3555127
946958277558691840,178.80553,4.5979635,0.04557268
945788397169960960,178.81134,4.6050231,0.1554742
5457314188665049088,178.89143,4.6533577,0.422599
5457314463542956032,178.84765,4.7314344,0.6645175
945786473024612352,178.83671,4.7258047,0.02569428
5457325733537140736,178.84363,4.6970897,0.6558523
945898623210645504,178.65552,4.9833111,0.2253988
945896973943203840,178.73187,5.0320838,0.4817633
946954154390087680,178.92331,4.9424452,0.1283889
946979168279619584,178.9319,5.0975685,0.4727242
5457316937444118528,178.89607,5.0341523,0.4728517
5457327657682489344,178.80915,4.9667293,0.4429536
945896699065296896,178.86205,4.993905,0.07050288
946979718035433472,178.90812,5.2316154,0.07388179
5365163565073584128,178.80405,5.1069785,0.4864947
946980817547061248,178.78412,5.1135933,0.07688605
5365161366050328576,178.93295,5.1204259,0.5647697
5365162465561956352,178.91294,5.1075548,0.5773479
5457325183781326848,178.77021,5.0558927,0.5615419
946943709029623808,179.13015,4.9328323,0.07621908
945907694181574656,179.15816,4.9273677,0.1684624
945919513931573248,179.19975,5.0072959,0.0741611
945908243937388544,179.18239,4.9631613,0.07583828
947002532901709824,179.23744,4.9581399,0.07245096
945919239053666304,179.21376,4.9588275,0.07575924
947002807779616768,179.25632,4.9909268,0.07605804
945918689297852416,179.26656,5.19493,0.07785096
5457305942327840768,179.15062,5.1213197,0.4668658
945915940518782976,179.19572,5.1381538,0.1699021
947000059000547328,179.26901,5.1037986,0.07957273
5457293297944121344,179.22047,5.1451477,0.3545842
5457294947211563008,179.26873,5.1753537,0.561197
946998959488919552,179.24715,5.15913,0.0745384
946991812663339008,178.97692,4.9573757,0.07434785
945898898088552448,179.0212,4.9263943,0.07129919
5365175934579396608,179.02096,4.9594235,0.3068628
945897248821110784,179.01201,4.9809049,0.1489744
5457317762077839360,179.00469,4.9639365,0.5151541
945909343449016320,179.08083,4.9603303,0.07436484
946989338762176512,179.07369,4.9471857,0.07299363
5365176209457303552,179.097,4.9564187,0.5161781
5457306217205747712,179.11414,5.0712884,0.3522668
946988789006362624,179.10186,5.0668251,0.3529561
945905495158319104,179.05466,5.0164366,0.07152785
945906044914132992,179.07233,4.9994606,0.07245671
946990438273804288,179.08963,5.01149,0.07649757
946991537785432064,179.04334,4.9930593,0.07896114
945909068571109376,179.04486,4.9953806,0.07953964
946989613640083456,179.06294,4.9678654,0.07257254
945909618326923264,179.12076,5.0216251,0.07340471
946988239250548736,179.14261,5.0531136,0.07441462
945908518815295488,179.16139,5.0797772,0.07471268
945907419303667712,179.12725,4.9664298,0.07276828
947001708267988992,179.19816,5.0079029,0.07736316
946990163395897344,179.12092,5.0019098,0.07818474
321021143806928896,180.06102,0.038825182,0.1064584
321031314289485824,180.27028,0.079783089,0.07960711
4326838653227913216,180.19874,0.037780898,0.3713602
4327100886751137792,180.0267,0.21564131,0.6055654
4327101986262765568,180.06935,0.21948482,0.5432581
4327108033576718336,180.08298,0.2383569,0.109032
322104988551636992,180.06272,0.12660131,0.1782645
